,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
340,2020-07-30T00:00:00.000Z,1.46,1.56,1.4,1.42,4775674,1.46,1.56,1.4,1.42,4775674,0.0,1.0
341,2020-07-31T00:00:00.000Z,1.49,1.57,1.41,1.42,6351657,1.49,1.57,1.41,1.42,6351657,0.0,1.0
342,2020-08-03T00:00:00.000Z,1.58,1.66,1.45,1.51,7497061,1.58,1.66,1.45,1.51,7497061,0.0,1.0
343,2020-08-04T00:00:00.000Z,1.6,1.85,1.58,1.61,8935747,1.6,1.85,1.58,1.61,8935747,0.0,1.0
344,2020-08-05T00:00:00.000Z,1.64,1.75,1.55,1.61,4231784,1.64,1.75,1.55,1.61,4231784,0.0,1.0
345,2020-08-06T00:00:00.000Z,1.66,1.71,1.61,1.7,2009346,1.66,1.71,1.61,1.7,2009346,0.0,1.0
346,2020-08-07T00:00:00.000Z,1.61,1.69,1.6,1.63,1482064,1.61,1.69,1.6,1.63,1482064,0.0,1.0
347,2020-08-10T00:00:00.000Z,1.68,1.74,1.601,1.61,3342542,1.68,1.74,1.601,1.61,3342542,0.0,1.0
348,2020-08-11T00:00:00.000Z,1.63,1.94,1.63,1.68,13788564,1.63,1.94,1.63,1.68,13788564,0.0,1.0
349,2020-08-12T00:00:00.000Z,1.49,1.7,1.43,1.68,4550711,1.49,1.7,1.43,1.68,4550711,0.0,1.0
350,2020-08-13T00:00:00.000Z,1.47,1.56,1.43,1.56,2103812,1.47,1.56,1.43,1.56,2103812,0.0,1.0
351,2020-08-14T00:00:00.000Z,1.36,1.48,1.33,1.47,2716453,1.36,1.48,1.33,1.47,2716453,0.0,1.0
352,2020-08-17T00:00:00.000Z,1.35,1.43,1.29,1.42,4143948,1.35,1.43,1.29,1.42,4143948,0.0,1.0
353,2020-08-18T00:00:00.000Z,1.28,1.36,1.28,1.36,1733767,1.28,1.36,1.28,1.36,1733767,0.0,1.0
354,2020-08-19T00:00:00.000Z,1.29,1.42,1.25,1.29,6505988,1.29,1.42,1.25,1.29,6505988,0.0,1.0
355,2020-08-20T00:00:00.000Z,1.225,1.315,1.2,1.2964,3278757,1.225,1.315,1.2,1.2964,3278757,0.0,1.0
356,2020-08-21T00:00:00.000Z,1.21,1.26,1.19,1.23,2426058,1.21,1.26,1.19,1.23,2426058,0.0,1.0
357,2020-08-24T00:00:00.000Z,1.05,1.19,1.01,1.18,4715122,1.05,1.19,1.01,1.18,4715122,0.0,1.0
358,2020-08-25T00:00:00.000Z,1.06,1.09,1.04,1.09,1503050,1.06,1.09,1.04,1.09,1503050,0.0,1.0
359,2020-08-26T00:00:00.000Z,1.1,1.27,1.085,1.1713,10257846,1.1,1.27,1.085,1.1713,10257846,0.0,1.0
360,2020-08-27T00:00:00.000Z,1.06,1.1,1.02,1.09,1814507,1.06,1.1,1.02,1.09,1814507,0.0,1.0
361,2020-08-28T00:00:00.000Z,1.05,1.06,1.03,1.04,1180109,1.05,1.06,1.03,1.04,1180109,0.0,1.0
362,2020-08-31T00:00:00.000Z,1.08,1.09,1.01,1.04,1620149,1.08,1.09,1.01,1.04,1620149,0.0,1.0
363,2020-09-01T00:00:00.000Z,1.05,1.07,1.03,1.04,838331,1.05,1.07,1.03,1.04,838331,0.0,1.0
364,2020-09-02T00:00:00.000Z,1.09,1.15,1.04,1.07,2937874,1.09,1.15,1.04,1.07,2937874,0.0,1.0
365,2020-09-03T00:00:00.000Z,1.03,1.08,1.0,1.08,1319081,1.03,1.08,1.0,1.08,1319081,0.0,1.0
366,2020-09-04T00:00:00.000Z,0.9628,1.035,0.88,1.02,2001260,0.9628,1.035,0.88,1.02,2001260,0.0,1.0
367,2020-09-08T00:00:00.000Z,0.8906,0.9299,0.8222,0.88,1295822,0.8906,0.9299,0.8222,0.88,1295822,0.0,1.0
368,2020-09-09T00:00:00.000Z,0.9251,0.978,0.89,0.9203,1732029,0.9251,0.978,0.89,0.9203,1732029,0.0,1.0
369,2020-09-10T00:00:00.000Z,0.9344,0.97,0.91,0.91,478922,0.9344,0.97,0.91,0.91,478922,0.0,1.0
370,2020-09-11T00:00:00.000Z,0.87,0.9451,0.865,0.93,983916,0.87,0.9451,0.865,0.93,983916,0.0,1.0
371,2020-09-14T00:00:00.000Z,0.908,0.9104,0.87,0.9027,615295,0.908,0.9104,0.87,0.9027,615295,0.0,1.0
372,2020-09-15T00:00:00.000Z,0.91,1.02,0.88,0.908,1108631,0.91,1.02,0.88,0.908,1108631,0.0,1.0
373,2020-09-16T00:00:00.000Z,0.9447,0.989,0.8999,0.9145,1552037,0.9447,0.989,0.8999,0.9145,1552037,0.0,1.0
374,2020-09-17T00:00:00.000Z,0.949,0.969,0.9006,0.9459,706643,0.949,0.969,0.9006,0.9459,706643,0.0,1.0
375,2020-09-18T00:00:00.000Z,0.9067,0.96,0.9067,0.9593,657508,0.9067,0.96,0.9067,0.9593,657508,0.0,1.0
376,2020-09-21T00:00:00.000Z,0.88,0.94,0.88,0.92,472219,0.88,0.94,0.88,0.92,472219,0.0,1.0
377,2020-09-22T00:00:00.000Z,0.881,0.9287,0.881,0.9,399769,0.881,0.9287,0.881,0.9,399769,0.0,1.0
378,2020-09-23T00:00:00.000Z,0.8267,0.8975,0.8251,0.8881,543897,0.8267,0.8975,0.8251,0.8881,543897,0.0,1.0
379,2020-09-24T00:00:00.000Z,0.7831,0.83,0.7532,0.816,1069162,0.7831,0.83,0.7532,0.816,1069162,0.0,1.0
380,2020-09-25T00:00:00.000Z,0.8374,0.8495,0.78,0.79,884505,0.8374,0.8495,0.78,0.79,884505,0.0,1.0
381,2020-09-28T00:00:00.000Z,0.8584,0.88,0.823,0.859,716653,0.8584,0.88,0.823,0.859,716653,0.0,1.0
382,2020-09-29T00:00:00.000Z,0.9341,0.946,0.8352,0.86,1533268,0.9341,0.946,0.8352,0.86,1533268,0.0,1.0
383,2020-09-30T00:00:00.000Z,0.915,0.95,0.88,0.9462,828797,0.915,0.95,0.88,0.9462,828797,0.0,1.0
384,2020-10-01T00:00:00.000Z,0.9267,0.96,0.9021,0.96,1250083,0.9267,0.96,0.9021,0.96,1250083,0.0,1.0
385,2020-10-02T00:00:00.000Z,0.9998,1.07,0.8401,0.888,4729523,0.9998,1.07,0.8401,0.888,4729523,0.0,1.0
386,2020-10-05T00:00:00.000Z,0.92,0.99,0.9111,0.96,3076799,0.92,0.99,0.9111,0.96,3076799,0.0,1.0
387,2020-10-06T00:00:00.000Z,0.893,0.94,0.8708,0.93,1602096,0.893,0.94,0.8708,0.93,1602096,0.0,1.0
388,2020-10-07T00:00:00.000Z,1.03,1.25,0.9996,1.01,20147748,1.03,1.25,0.9996,1.01,20147748,0.0,1.0
389,2020-10-08T00:00:00.000Z,0.9483,0.9673,0.92,0.93,2851655,0.9483,0.9673,0.92,0.93,2851655,0.0,1.0
390,2020-10-09T00:00:00.000Z,0.925,0.93505,0.9123,0.9322,896241,0.925,0.93505,0.9123,0.9322,896241,0.0,1.0
391,2020-10-12T00:00:00.000Z,0.8929,0.925,0.888,0.92,1175887,0.8929,0.925,0.888,0.92,1175887,0.0,1.0
392,2020-10-13T00:00:00.000Z,0.872,0.9,0.87,0.8963,895622,0.872,0.9,0.87,0.8963,895622,0.0,1.0
393,2020-10-14T00:00:00.000Z,0.8699,0.9,0.8615,0.89,733369,0.8699,0.9,0.8615,0.89,733369,0.0,1.0
394,2020-10-15T00:00:00.000Z,0.862,0.91,0.84,0.888,3221212,0.862,0.91,0.84,0.888,3221212,0.0,1.0
395,2020-10-16T00:00:00.000Z,0.7975,0.853,0.79,0.841,2021295,0.7975,0.853,0.79,0.841,2021295,0.0,1.0
396,2020-10-19T00:00:00.000Z,0.7845,0.9,0.77,0.782,3696599,0.7845,0.9,0.77,0.782,3696599,0.0,1.0
397,2020-10-20T00:00:00.000Z,0.7849,0.801,0.7721,0.7797,848929,0.7849,0.801,0.7721,0.7797,848929,0.0,1.0
398,2020-10-21T00:00:00.000Z,0.7596,0.8389,0.7295,0.79,2621017,0.7596,0.8389,0.7295,0.79,2621017,0.0,1.0
399,2020-10-22T00:00:00.000Z,0.765,0.769599,0.73,0.75,746080,0.765,0.769599,0.73,0.75,746080,0.0,1.0
400,2020-10-23T00:00:00.000Z,0.7683,0.7852,0.74,0.763,583426,0.7683,0.7852,0.74,0.763,583426,0.0,1.0
401,2020-10-26T00:00:00.000Z,0.7566,0.78,0.74,0.769,297158,0.7566,0.78,0.74,0.769,297158,0.0,1.0
402,2020-10-27T00:00:00.000Z,0.715,0.75,0.71,0.7475,691944,0.715,0.75,0.71,0.7475,691944,0.0,1.0
403,2020-10-28T00:00:00.000Z,0.7055,0.715,0.65,0.7,2464327,0.7055,0.715,0.65,0.7,2464327,0.0,1.0
404,2020-10-29T00:00:00.000Z,0.7051,0.7283,0.6811,0.713,1577169,0.7051,0.7283,0.6811,0.713,1577169,0.0,1.0
405,2020-10-30T00:00:00.000Z,0.676,0.696,0.6301,0.69,1074114,0.676,0.696,0.6301,0.69,1074114,0.0,1.0
406,2020-11-02T00:00:00.000Z,0.6843,0.71,0.6501,0.66,1389675,0.6843,0.71,0.6501,0.66,1389675,0.0,1.0
407,2020-11-03T00:00:00.000Z,0.6722,0.699,0.6621,0.699,726406,0.6722,0.699,0.6621,0.699,726406,0.0,1.0
408,2020-11-04T00:00:00.000Z,0.6685,0.69,0.66,0.69,817965,0.6685,0.69,0.66,0.69,817965,0.0,1.0
409,2020-11-05T00:00:00.000Z,0.6979,0.74,0.6605,0.6649,1070444,0.6979,0.74,0.6605,0.6649,1070444,0.0,1.0
410,2020-11-06T00:00:00.000Z,0.6984,0.7,0.6754,0.6979,384052,0.6984,0.7,0.6754,0.6979,384052,0.0,1.0
411,2020-11-09T00:00:00.000Z,0.7377,0.7377,0.68,0.7007,1037510,0.7377,0.7377,0.68,0.7007,1037510,0.0,1.0
412,2020-11-10T00:00:00.000Z,0.651,0.69,0.625,0.68,1333730,0.651,0.69,0.625,0.68,1333730,0.0,1.0
413,2020-11-11T00:00:00.000Z,0.6887,0.71,0.651,0.659,1194082,0.6887,0.71,0.651,0.659,1194082,0.0,1.0
414,2020-11-12T00:00:00.000Z,0.6699,0.6896,0.65,0.68,1694403,0.6699,0.6896,0.65,0.68,1694403,0.0,1.0
415,2020-11-13T00:00:00.000Z,0.64,0.675,0.63,0.6652,1656069,0.64,0.675,0.63,0.6652,1656069,0.0,1.0
416,2020-11-16T00:00:00.000Z,0.6423,0.65989,0.636,0.65,958980,0.6423,0.65989,0.636,0.65,958980,0.0,1.0
417,2020-11-17T00:00:00.000Z,0.67,0.7095,0.633,0.634,4097135,0.67,0.7095,0.633,0.634,4097135,0.0,1.0
418,2020-11-18T00:00:00.000Z,0.6951,0.6951,0.6609,0.69,2669992,0.6951,0.6951,0.6609,0.69,2669992,0.0,1.0
419,2020-11-19T00:00:00.000Z,0.6842,0.75,0.663,0.7127,4044686,0.6842,0.75,0.663,0.7127,4044686,0.0,1.0
420,2020-11-20T00:00:00.000Z,0.6644,0.6799,0.6533,0.6751,1498993,0.6644,0.6799,0.6533,0.6751,1498993,0.0,1.0
421,2020-11-23T00:00:00.000Z,0.6427,0.669,0.6023,0.6666,2359241,0.6427,0.669,0.6023,0.6666,2359241,0.0,1.0
422,2020-11-24T00:00:00.000Z,0.709,0.72,0.635,0.65,6166834,0.709,0.72,0.635,0.65,6166834,0.0,1.0
423,2020-11-25T00:00:00.000Z,0.69,0.77,0.670101,0.7,5724923,0.69,0.77,0.670101,0.7,5724923,0.0,1.0
424,2020-11-27T00:00:00.000Z,0.6684,0.6885,0.655,0.685,1416175,0.6684,0.6885,0.655,0.685,1416175,0.0,1.0
425,2020-11-30T00:00:00.000Z,0.68,0.68,0.645,0.67,1986557,0.68,0.68,0.645,0.67,1986557,0.0,1.0
426,2020-12-01T00:00:00.000Z,0.7209,0.7498,0.6602,0.68,5981517,0.7209,0.7498,0.6602,0.68,5981517,0.0,1.0
427,2020-12-02T00:00:00.000Z,0.6779,0.7124,0.6607,0.705,2516610,0.6779,0.7124,0.6607,0.705,2516610,0.0,1.0
428,2020-12-03T00:00:00.000Z,0.704,0.7179,0.665,0.68,3496396,0.704,0.7179,0.665,0.68,3496396,0.0,1.0
429,2020-12-04T00:00:00.000Z,0.76,0.82,0.7,0.7163,10409052,0.76,0.82,0.7,0.7163,10409052,0.0,1.0
430,2020-12-07T00:00:00.000Z,0.8088,0.83,0.721,0.76,5703632,0.8088,0.83,0.721,0.76,5703632,0.0,1.0
431,2020-12-08T00:00:00.000Z,0.8375,0.8862,0.775,0.7995,9523339,0.8375,0.8862,0.775,0.7995,9523339,0.0,1.0
432,2020-12-09T00:00:00.000Z,0.795,0.9091,0.78,0.8636,4395082,0.795,0.9091,0.78,0.8636,4395082,0.0,1.0
433,2020-12-10T00:00:00.000Z,0.7826,0.82,0.7311,0.82,1997236,0.7826,0.82,0.7311,0.82,1997236,0.0,1.0
434,2020-12-11T00:00:00.000Z,0.7731,0.777,0.711,0.7642,4196070,0.7731,0.777,0.711,0.7642,4196070,0.0,1.0
435,2020-12-14T00:00:00.000Z,0.797,0.83,0.778,0.8101,2754335,0.797,0.83,0.778,0.8101,2754335,0.0,1.0
436,2020-12-15T00:00:00.000Z,0.7766,0.8296,0.73,0.8296,4242507,0.7766,0.8296,0.73,0.8296,4242507,0.0,1.0
437,2020-12-16T00:00:00.000Z,0.9728,1.03,0.8101,0.9124,31355161,0.9728,1.03,0.8101,0.9124,31355161,0.0,1.0
438,2020-12-17T00:00:00.000Z,1.24,1.33,0.871,0.945,57002611,1.24,1.33,0.871,0.945,57002611,0.0,1.0
439,2020-12-18T00:00:00.000Z,1.06,1.22,1.05,1.09,9961757,1.06,1.22,1.05,1.09,9961757,0.0,1.0
440,2020-12-21T00:00:00.000Z,1.06,1.12,0.9411,0.9925,7172359,1.06,1.12,0.9411,0.9925,7172359,0.0,1.0
441,2020-12-22T00:00:00.000Z,1.01,1.16,0.9809,1.15,7231098,1.01,1.16,0.9809,1.15,7231098,0.0,1.0
442,2020-12-23T00:00:00.000Z,1.0,1.0492,0.934,1.01,4636553,1.0,1.0492,0.934,1.01,4636553,0.0,1.0
443,2020-12-24T00:00:00.000Z,1.01,1.05,1.0,1.0,2082184,1.01,1.05,1.0,1.0,2082184,0.0,1.0
444,2020-12-28T00:00:00.000Z,1.19,1.2699,1.11,1.2,13038166,1.19,1.2699,1.11,1.2,13038166,0.0,1.0
445,2020-12-29T00:00:00.000Z,1.08,1.1331,1.03,1.13,3667500,1.08,1.1331,1.03,1.13,3667500,0.0,1.0
446,2020-12-30T00:00:00.000Z,1.36,1.5,1.1,1.1729,20810053,1.36,1.5,1.1,1.1729,20810053,0.0,1.0
447,2020-12-31T00:00:00.000Z,1.26,1.34,1.21,1.31,5938024,1.26,1.34,1.21,1.31,5938024,0.0,1.0
448,2021-01-04T00:00:00.000Z,1.2,1.37,1.16,1.37,5911880,1.2,1.37,1.16,1.37,5911880,0.0,1.0
449,2021-01-05T00:00:00.000Z,1.29,1.3273,1.123,1.2,4548193,1.29,1.3273,1.123,1.2,4548193,0.0,1.0
450,2021-01-06T00:00:00.000Z,1.11,1.2833,1.0601,1.28,7478615,1.11,1.2833,1.0601,1.28,7478615,0.0,1.0
451,2021-01-07T00:00:00.000Z,1.22,1.35,1.15,1.17,16813776,1.22,1.35,1.15,1.17,16813776,0.0,1.0
452,2021-01-08T00:00:00.000Z,1.35,1.46,1.25,1.2897,13287812,1.35,1.46,1.25,1.2897,13287812,0.0,1.0
453,2021-01-11T00:00:00.000Z,1.27,1.3401,1.2079,1.24,4120713,1.27,1.3401,1.2079,1.24,4120713,0.0,1.0
454,2021-01-12T00:00:00.000Z,1.29,1.33,1.22,1.28,3930899,1.29,1.33,1.22,1.28,3930899,0.0,1.0
455,2021-01-13T00:00:00.000Z,1.21,1.29,1.2,1.29,4648785,1.21,1.29,1.2,1.29,4648785,0.0,1.0
456,2021-01-14T00:00:00.000Z,1.32,1.34,1.22,1.2613,8459224,1.32,1.34,1.22,1.2613,8459224,0.0,1.0
457,2021-01-15T00:00:00.000Z,1.34,1.55,1.29,1.39,11586350,1.34,1.55,1.29,1.39,11586350,0.0,1.0
458,2021-01-19T00:00:00.000Z,1.33,1.4,1.25,1.31,3695301,1.33,1.4,1.25,1.31,3695301,0.0,1.0
459,2021-01-20T00:00:00.000Z,1.29,1.3492,1.27,1.33,2236677,1.29,1.3492,1.27,1.33,2236677,0.0,1.0
460,2021-01-21T00:00:00.000Z,1.29,1.35,1.29,1.33,3492153,1.29,1.35,1.29,1.33,3492153,0.0,1.0
461,2021-01-22T00:00:00.000Z,1.32,1.35,1.22,1.28,6907574,1.32,1.35,1.22,1.28,6907574,0.0,1.0
462,2021-01-25T00:00:00.000Z,1.45,1.48,1.27,1.43,14090089,1.45,1.48,1.27,1.43,14090089,0.0,1.0
463,2021-01-26T00:00:00.000Z,1.81,2.41,1.75,2.14,114058019,1.81,2.41,1.75,2.14,114058019,0.0,1.0
464,2021-01-27T00:00:00.000Z,1.59,1.8,1.54,1.56,9636549,1.59,1.8,1.54,1.56,9636549,0.0,1.0
465,2021-01-28T00:00:00.000Z,1.64,1.83,1.5,1.5606,9490727,1.64,1.83,1.5,1.5606,9490727,0.0,1.0
466,2021-01-29T00:00:00.000Z,2.08,2.24,1.63,1.74,71581173,2.08,2.24,1.63,1.74,71581173,0.0,1.0
467,2021-02-01T00:00:00.000Z,2.69,3.17,2.43,3.06,77910698,2.69,3.17,2.43,3.06,77910698,0.0,1.0
468,2021-02-02T00:00:00.000Z,2.51,2.54,2.1,2.35,18411243,2.51,2.54,2.1,2.35,18411243,0.0,1.0
469,2021-02-03T00:00:00.000Z,2.35,2.52,2.27,2.33,8475174,2.35,2.52,2.27,2.33,8475174,0.0,1.0
470,2021-02-04T00:00:00.000Z,2.16,2.41,2.16,2.39,8448666,2.16,2.41,2.16,2.39,8448666,0.0,1.0
471,2021-02-05T00:00:00.000Z,2.2,2.3,2.15,2.23,5534591,2.2,2.3,2.15,2.23,5534591,0.0,1.0
472,2021-02-08T00:00:00.000Z,2.77,2.92,2.52,2.68,20215697,2.77,2.92,2.52,2.68,20215697,0.0,1.0
473,2021-02-09T00:00:00.000Z,2.68,2.87,2.55,2.68,9682363,2.68,2.87,2.55,2.68,9682363,0.0,1.0
474,2021-02-10T00:00:00.000Z,3.04,3.27,2.4,2.7,24722557,3.04,3.27,2.4,2.7,24722557,0.0,1.0
475,2021-02-11T00:00:00.000Z,2.81,3.3376,2.75,3.06,12892750,2.81,3.3376,2.75,3.06,12892750,0.0,1.0
476,2021-02-12T00:00:00.000Z,2.64,2.77,2.575,2.66,9776607,2.64,2.77,2.575,2.66,9776607,0.0,1.0
477,2021-02-16T00:00:00.000Z,2.77,3.039,2.63,2.84,12223101,2.77,3.039,2.63,2.84,12223101,0.0,1.0
478,2021-02-17T00:00:00.000Z,2.89,3.0708,2.66,2.89,27066134,2.89,3.0708,2.66,2.89,27066134,0.0,1.0
479,2021-02-18T00:00:00.000Z,2.42,2.845,2.41,2.81,14305495,2.42,2.845,2.41,2.81,14305495,0.0,1.0
480,2021-02-19T00:00:00.000Z,2.55,2.62,2.43,2.49,9130214,2.55,2.62,2.43,2.49,9130214,0.0,1.0
481,2021-02-22T00:00:00.000Z,2.32,2.4408,2.26,2.4,7317170,2.32,2.4408,2.26,2.4,7317170,0.0,1.0
482,2021-02-23T00:00:00.000Z,2.0,2.09,1.71,1.98,9737922,2.0,2.09,1.71,1.98,9737922,0.0,1.0
483,2021-02-24T00:00:00.000Z,2.17,2.24,2.01,2.01,4821830,2.17,2.24,2.01,2.01,4821830,0.0,1.0
484,2021-02-25T00:00:00.000Z,1.87,2.1359,1.86,2.1359,5885890,1.87,2.1359,1.86,2.1359,5885890,0.0,1.0
485,2021-02-26T00:00:00.000Z,1.8,1.92,1.7,1.78,3985783,1.8,1.92,1.7,1.78,3985783,0.0,1.0
486,2021-03-01T00:00:00.000Z,1.8,1.99,1.775,1.86,6881029,1.8,1.99,1.775,1.86,6881029,0.0,1.0
487,2021-03-02T00:00:00.000Z,1.75,1.9,1.71,1.87,4024952,1.75,1.9,1.71,1.87,4024952,0.0,1.0
488,2021-03-03T00:00:00.000Z,1.64,1.85,1.6,1.81,4577688,1.64,1.85,1.6,1.81,4577688,0.0,1.0
489,2021-03-04T00:00:00.000Z,1.32,1.6,1.25,1.55,6666004,1.32,1.6,1.25,1.55,6666004,0.0,1.0
490,2021-03-05T00:00:00.000Z,1.31,1.3914,1.14,1.3914,4921024,1.31,1.3914,1.14,1.3914,4921024,0.0,1.0
491,2021-03-08T00:00:00.000Z,1.56,1.59,1.32,1.38,3719311,1.56,1.59,1.32,1.38,3719311,0.0,1.0
492,2021-03-09T00:00:00.000Z,1.65,1.73,1.53,1.5795,3653554,1.65,1.73,1.53,1.5795,3653554,0.0,1.0
493,2021-03-10T00:00:00.000Z,1.62,1.75,1.52,1.71,4864603,1.62,1.75,1.52,1.71,4864603,0.0,1.0
494,2021-03-11T00:00:00.000Z,1.93,3.07,1.83,2.18,173015358,1.93,3.07,1.83,2.18,173015358,0.0,1.0
495,2021-03-12T00:00:00.000Z,2.1,2.15,1.92,1.94,14835366,2.1,2.15,1.92,1.94,14835366,0.0,1.0
496,2021-03-15T00:00:00.000Z,2.04,2.1,1.98,2.08,4860664,2.04,2.1,1.98,2.08,4860664,0.0,1.0
497,2021-03-16T00:00:00.000Z,2.0,2.15,1.92,2.0,8021816,2.0,2.15,1.92,2.0,8021816,0.0,1.0
498,2021-03-17T00:00:00.000Z,2.28,2.335,2.0,2.03,12648415,2.28,2.335,2.0,2.03,12648415,0.0,1.0
499,2021-03-18T00:00:00.000Z,2.11,2.38,2.08,2.12,6046094,2.11,2.38,2.08,2.12,6046094,0.0,1.0
500,2021-03-19T00:00:00.000Z,2.09,2.25,2.07,2.15,3228714,2.09,2.25,2.07,2.15,3228714,0.0,1.0
